"",".imp","H0_g1","H1_g1","H0_g2","H1_g2","p01","p11","beta1","beta2","tau2","bias_b0CC","bias_b1CC","omv_bias_b0","omv_bias_b1"
"1",1,0.269230769230769,0.272727272727273,0.365384615384615,0.636363636363636,0.153846153846154,0.636363636363636,0.15403059773907,0.0339196855560004,0.0626517558752495,0.0594350507521494,0.0769195378626081,0.00521841316246161,0.0163668412822659
"2",2,0.309090909090909,0.157894736842105,0.467741935483871,0.333333333333333,0.0363636363636364,0.526315789473684,0.367382499381527,-0.146566836318543,0.0591628014681722,0.0664720924422865,0.0426234283613872,-0.0053297031388561,-0.071810737028798
"3",3,0.269230769230769,0.272727272727273,0.45,0.428571428571429,0.0384615384615385,0.545454545454545,0.170569306943541,0.0603483935436228,0.0649906735501686,0.0604641820960132,0.0778874977436054,0.00232109205937011,0.0305962135098787
"4",4,0.321428571428571,0.111111111111111,0.459016393442623,0.384615384615385,0.0714285714285714,0.5,0.389026576407899,-0.214884062151669,0.0589608876343672,0.0690193228968698,0.0292375355607462,-0.0153488615822621,-0.0920931694935726
"5",5,0.321428571428571,0.111111111111111,0.421052631578947,0.529411764705882,0.107142857142857,0.611111111111111,0.296813137867669,-0.0296579351611312,0.0589089108924078,0.0689920189953361,0.0292300747122969,-0.0031776359101212,-0.014946657799459
"6",6,0.344827586206897,0,0.431034482758621,0.5,0.120689655172414,0.5625,0.355819731325882,-0.11125201309829,0.0585861365079745,0.0738325267001175,-0.00239126664635198,-0.0134269670980695,-0.0491522902697186
"7",7,0.309090909090909,0.157894736842105,0.410714285714286,0.555555555555556,0.127272727272727,0.578947368421053,0.325482503591978,-0.181471287836614,0.0597892373002012,0.0667885343549983,0.0427621593444,-0.02309634572466,-0.0819659788123272
"8",8,0.269230769230769,0.272727272727273,0.4,0.578947368421053,0.0961538461538462,0.636363636363636,0.179242958740269,-0.0770120544083975,0.0651840331849815,0.0605492609608906,0.0779675195293698,-0.00740500523157669,-0.0416026657555854
"9",9,0.269230769230769,0.272727272727273,0.421052631578947,0.529411764705882,0.0961538461538462,0.545454545454545,0.389032260746239,-0.211087643235679,0.0595705449167194,0.0580793079620191,0.0756443802866368,-0.0202968887726614,-0.0948418257195271
"10",10,0.321428571428571,0.111111111111111,0.476190476190476,0.272727272727273,0.0535714285714286,0.444444444444444,0.313640766952781,-0.0949491526502853,0.0607677627259465,0.0699684924239407,0.0294968981278642,-0.00508656174912242,-0.0371130616510044
"11",11,0.333333333333333,0.0588235294117647,0.431034482758621,0.5,0.105263157894737,0.588235294117647,0.292255330362934,-0.0342909689819254,0.0627190415836598,0.0736229082723749,0.0145529698581018,-0.00360957568230794,-0.0165615825423541
"12",12,0.309090909090909,0.157894736842105,0.440677966101695,0.466666666666667,0.0545454545454545,0.631578947368421,0.366076881979287,-0.15129272363554,0.0600449184179866,0.0669176907950031,0.0428187826903113,-0.00825233038012035,-0.0873009687581153
"13",13,0.24,0.333333333333333,0.45,0.428571428571429,0.06,0.458333333333333,0.230889260551518,-0.0990488437124938,0.0643286604306327,0.0536398370990826,0.0955391108291457,-0.00594293062274963,-0.03945445607881
"14",14,0.296296296296296,0.2,0.410714285714286,0.555555555555556,0.0925925925925926,0.65,0.305977462730327,-0.212037734066802,0.0613818267085818,0.0647950570610961,0.0553039715376111,-0.0196331235247039,-0.118191403618717
"15",15,0.296296296296296,0.2,0.459016393442623,0.384615384615385,0.0555555555555556,0.5,0.348229191219967,-0.214741756221449,0.0589527722199669,0.0636188205459195,0.0545952030681183,-0.0119300975678583,-0.0954407805428664
"16",16,0.269230769230769,0.272727272727273,0.459016393442623,0.384615384615385,0.0576923076923077,0.454545454545455,0.2521856268326,-0.0131076657168497,0.0618734937108633,0.0590926128819747,0.0765974544647604,-0.000756211483664408,-0.00520181838763093
"17",17,0.269230769230769,0.272727272727273,0.440677966101695,0.466666666666667,0.0961538461538462,0.454545454545455,0.312423741575448,-0.172645685443797,0.0638198792516078,0.0599490288168762,0.0774029651232144,-0.0166005466772882,-0.061874764888074
"18",18,0.173913043478261,0.428571428571429,0.467741935483871,0.333333333333333,0.0434782608695652,0.357142857142857,0.251741072061216,-0.114927010225007,0.0644192043272469,0.0388951820749481,0.12392289661436,-0.00499682653152205,-0.0360485342631233
"19",19,0.309090909090909,0.157894736842105,0.476190476190476,0.272727272727273,0.0727272727272727,0.368421052631579,0.228804369722621,0.0569192015054569,0.0615534773905756,0.0676797341876657,0.0431528693732556,0.00413957829130596,0.0168306538422834
"20",20,0.321428571428571,0.111111111111111,0.459016393442623,0.384615384615385,0.0714285714285714,0.5,0.371895063384288,-0.184770317910227,0.0588166642081273,0.0689435608910097,0.0292168334334976,-0.0131978798507305,-0.0791872791043831
"21",21,0.254901960784314,0.304347826086957,0.440677966101695,0.466666666666667,0.0980392156862745,0.434782608695652,0.223007184034059,-0.0511456487594883,0.0648556118710804,0.0571899356522358,0.0872051871799811,-0.00501427929014592,-0.017222959300936
"22",22,0.269230769230769,0.272727272727273,0.440677966101695,0.466666666666667,0.0576923076923077,0.545454545454545,0.237811139173968,-0.0365711875327631,0.0636968661178943,0.0598949026400685,0.0773520562008751,-0.00210987620381326,-0.017838044268603
"23",23,0.254901960784314,0.304347826086957,0.410714285714286,0.555555555555556,0.117647058823529,0.521739130434783,0.172585925253231,0.0496054189214389,0.064239237379061,0.0569331628554289,0.0869172028739125,0.00583593163781634,0.0200451564951083
"24",24,0.309090909090909,0.157894736842105,0.440677966101695,0.466666666666667,0.0727272727272727,0.578947368421053,0.302370404447415,-0.0656817628992296,0.059628955590103,0.0667075685986942,0.0427266632280159,-0.00477685548358033,-0.0332494283001841
"25",25,0.269230769230769,0.272727272727273,0.421052631578947,0.529411764705882,0.0576923076923077,0.636363636363636,0.436788190569892,-0.380986123510094,0.0597014956664794,0.0581369267155672,0.0756985741873086,-0.0219799686640439,-0.220465746296925
"26",26,0.269230769230769,0.272727272727273,0.431034482758621,0.5,0.0961538461538462,0.5,0.120734361393969,0.0680752173295933,0.0657136799574082,0.0607823072542791,0.0781867135746782,0.00654569397399936,0.0274919146907973
